date,swe_in,sd_in,pa_in,temp_f
2019-04-19 00:00,36.4,78,36.2,44
2019-04-19 01:00,36.3,78,36.2,43
2019-04-19 02:00,36.3,78,36.2,42
2019-04-19 03:00,36.3,78,36.2,42
2019-04-19 04:00,36.3,78,36.2,42
2019-04-19 05:00,36.3,78,36.3,42
2019-04-19 06:00,36.2,77,36.2,49
2019-04-19 07:00,36.2,77,36.2,47
2019-04-19 08:00,36.1,76,36.3,53
2019-04-19 09:00,36.1,76,36.3,50
2019-04-19 10:00,36.2,75,36.3,52
2019-04-19 11:00,36.3,76,36.3,52
2019-04-19 12:00,36.3,75,36.3,54
2019-04-19 13:00,36.3,75,36.3,55
2019-04-19 14:00,36.3,75,36.3,54
2019-04-19 15:00,36.2,74,36.3,54
2019-04-19 16:00,36.1,74,36.3,53
2019-04-19 17:00,36.1,75,36.3,50
2019-04-19 18:00,36.0,75,36.3,48
2019-04-19 19:00,35.9,75,36.3,48
2019-04-19 20:00,35.9,75,36.3,47
2019-04-19 21:00,35.8,75,36.3,47
2019-04-19 22:00,35.7,75,36.2,49
2019-04-19 23:00,35.7,75,36.3,47
2019-04-20 00:00,35.6,75,36.2,47
2019-04-20 01:00,35.7,74,36.2,46
2019-04-20 02:00,35.6,75,36.3,46
2019-04-20 03:00,35.6,75,36.3,47
2019-04-20 04:00,35.6,75,36.2,50
2019-04-20 05:00,35.6,75,36.3,46
2019-04-20 06:00,35.6,75,36.3,46
2019-04-20 07:00,35.5,74,36.3,48
2019-04-20 08:00,35.5,74,36.3,50
2019-04-20 09:00,35.5,74,36.3,49
2019-04-20 10:00,35.5,74,36.3,50
2019-04-20 11:00,35.5,73,36.3,51
2019-04-20 12:00,35.5,73,36.3,53
2019-04-20 13:00,35.5,73,36.3,51
2019-04-20 14:00,35.5,72,36.3,55
2019-04-20 15:00,35.5,73,36.4,48
2019-04-20 16:00,35.4,73,36.3,43
2019-04-20 17:00,35.4,73,36.3,43
2019-04-20 18:00,35.3,73,36.3,41
2019-04-20 19:00,35.3,73,36.3,42
2019-04-20 20:00,35.2,73,36.2,43
2019-04-20 21:00,35.2,73,36.3,37
2019-04-20 22:00,35.2,73,36.3,37
2019-04-20 23:00,35.2,73,36.3,36
2019-04-21 00:00,35.3,73,36.3,36
2019-04-21 01:00,35.2,73,36.3,38
2019-04-21 02:00,35.2,73,36.3,37
2019-04-21 03:00,35.2,73,36.3,38
2019-04-21 04:00,35.2,73,36.4,38
2019-04-21 05:00,35.1,73,36.4,35
2019-04-21 06:00,35.1,73,36.4,38
2019-04-21 07:00,35.1,72,36.4,41
2019-04-21 08:00,35.1,72,36.4,41
2019-04-21 09:00,35.1,72,36.4,42
2019-04-21 10:00,35.1,72,36.4,41
2019-04-21 11:00,35.1,71,36.4,44
2019-04-21 12:00,35.2,71,36.4,42
2019-04-21 13:00,35.1,71,36.4,42
2019-04-21 14:00,35.0,72,36.5,36
2019-04-21 15:00,35.1,71,36.5,35
2019-04-21 16:00,35.0,71,36.5,38
2019-04-21 17:00,35.0,72,36.4,37
2019-04-21 18:00,34.9,72,36.4,37
2019-04-21 19:00,34.9,72,36.4,37
2019-04-21 20:00,34.9,71,36.4,35
2019-04-21 21:00,34.9,72,36.5,35
2019-04-21 22:00,34.8,72,36.5,34
2019-04-21 23:00,34.9,72,36.4,35
2019-04-22 00:00,34.8,72,36.5,34
2019-04-22 01:00,34.8,72,36.4,33
2019-04-22 02:00,34.8,72,36.4,33
2019-04-22 03:00,34.8,72,36.4,33
2019-04-22 04:00,34.7,72,36.5,33
2019-04-22 05:00,34.7,72,36.5,33
2019-04-22 06:00,34.7,72,36.5,33
2019-04-22 07:00,34.7,71,36.5,35
2019-04-22 08:00,34.7,71,36.5,41
2019-04-22 09:00,34.7,71,36.4,41
2019-04-22 10:00,34.7,70,36.5,45
2019-04-22 11:00,34.8,70,36.5,47
2019-04-22 12:00,34.8,70,36.5,42
2019-04-22 13:00,34.8,70,36.5,42
2019-04-22 14:00,34.8,70,36.5,43
2019-04-22 15:00,34.7,70,36.5,40
2019-04-22 16:00,34.7,70,36.5,37
2019-04-22 17:00,34.6,70,36.5,39
2019-04-22 18:00,34.6,71,36.5,38
2019-04-22 19:00,34.5,71,36.5,37
2019-04-22 20:00,34.5,71,36.5,36
2019-04-22 21:00,34.5,71,36.5,36
2019-04-22 22:00,34.5,71,36.5,36
2019-04-22 23:00,34.5,71,36.5,36
2019-04-23 00:00,34.5,71,36.5,35
2019-04-23 01:00,34.5,71,36.5,35
2019-04-23 02:00,34.4,71,36.5,35
2019-04-23 03:00,34.5,71,36.5,35
2019-04-23 04:00,34.5,71,36.5,34
2019-04-23 05:00,34.4,71,36.5,35
2019-04-23 06:00,34.4,70,36.5,39
2019-04-23 07:00,34.3,70,36.5,40
2019-04-23 08:00,34.3,70,36.5,43
2019-04-23 09:00,34.3,69,36.5,44
2019-04-23 10:00,34.4,69,36.5,50
2019-04-23 11:00,34.5,68,36.5,51
2019-04-23 12:00,34.4,69,36.5,47
2019-04-23 13:00,34.4,68,36.5,45
2019-04-23 14:00,34.3,69,36.5,44
2019-04-23 15:00,34.3,68,36.5,47
2019-04-23 16:00,34.3,68,36.5,46
2019-04-23 17:00,34.2,69,36.5,44
2019-04-23 18:00,34.1,69,36.5,41
